run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac,mean_adjacent_ari,min_adjacent_ari
67,100,25,0.9,0.7,1137447,513,0.9588395405961628,535,0.15209453628095332,0.030737568877381664,0.20429745288657092,0.029906542056074768,0.043510324483775814,0.8441002949852507,148.0,316.0,0.13796555324491205,0.02028250633828323,0.8838585053724496,158.0,272.0,0.1337713566628817,0.7383374508845671,0.6713014407709623
68,100,25,0.9,0.75,1075960,594,0.9513377149306247,615,0.15893248356901016,0.03578304454623913,0.1688305611666158,0.01788617886178862,0.05073746312684366,0.7253687315634219,139.0,301.0499999999993,0.0999139731618863,0.023542194856935893,0.7937945188941204,152.0,263.0,0.11106264216942215,0.7609792010406825,0.7052338925508858
69,100,25,0.95,0.65,944627,724,0.9416450906193985,745,0.1536214565491602,0.044811790479984064,0.2721130962697115,0.026845637583892617,0.06371681415929203,0.8930678466076696,107.0,300.0,0.23282323863138507,0.02933719666787396,0.9180248702161052,140.0,262.0,0.1650216939694617,0.7832470724386786,0.7419478681428308
70,100,25,0.95,0.7,914761,1068,0.9115714001194981,1091,0.1406758281882759,0.06605589855938392,0.254564826504736,0.016498625114573784,0.0915929203539823,0.8441002949852507,102.0,293.0,0.18265892871250183,0.0451527224435591,0.8838585053724496,139.0,259.0,0.15377575075055777,0.7773951316118574,0.6713014407709623
71,100,25,0.95,0.75,853274,1470,0.8816304852950939,1492,0.1311823673902941,0.09081856203943438,0.21270407601345526,0.00938337801608579,0.12433628318584071,0.7253687315634219,90.0,282.0,0.13327981472793843,0.0633828323071351,0.7937945188941204,134.0,252.0,0.12885381895504866,0.7499022256784498,0.6688101653499353
72,100,50,0.85,0.65,1530512,184,0.9852619000199163,201,0.15109871871473146,0.011153156741684923,0.32544407478069404,0.06965174129353234,0.017404129793510324,0.8930678466076696,189.0,470.0499999999993,0.24738135738709283,0.006036460219727152,0.9180248702161052,195.0,360.0,0.24273879420772881,0.837882352264493,0.7388694615670393
73,100,50,0.85,0.7,1458411,211,0.982938325698732,228,0.15561309168160392,0.01254730133439554,0.30021823662568015,0.05263157894736842,0.01902654867256637,0.8441002949852507,183.0,441.0,0.22243629948366916,0.007243752263672582,0.8838585053724496,189.0,347.89999999999964,0.2237393438968597,0.8122842060621404,0.7208541224470438
74,100,50,0.85,0.75,1333715,214,0.9827391621854876,233,0.15056761601274646,0.012746464847639912,0.24808129478246535,0.04291845493562232,0.019469026548672566,0.7253687315634219,161.0,400.0,0.13076210413857053,0.007243752263672582,0.7937945188941204,178.0,320.0,0.18147282338692963,0.8003359524549389,0.721256536984409
75,100,50,0.9,0.65,1438373,377,0.9705238000398327,399,0.14930624709553209,0.022970191860851093,0.3460785189809944,0.045112781954887216,0.03259587020648968,0.8930678466076696,180.0,460.0,0.26633185227493583,0.01509115054931788,0.9180248702161052,189.0,353.0,0.2524141899841019,0.8246002758306006,0.7195587724573611
76,100,50,0.9,0.7,1366272,513,0.9588395405961628,536,0.143397729535949,0.030737568877381664,0.32001203306978365,0.029850746268656716,0.043510324483775814,0.8441002949852507,173.0,430.0499999999993,0.24102503924857838,0.02028250633828323,0.8838585053724496,184.0,341.0,0.23370515320751512,0.7808667504520249,0.69574040013958
77,100,50,0.9,0.75,1241576,594,0.9513377149306247,613,0.16185354842992764,0.03578304454623913,0.26574301135944145,0.01794453507340946,0.05073746312684366,0.7253687315634219,153.0,393.0,0.1499280840733902,0.023542194856935893,0.7937945188941204,173.0,315.0,0.1888305581424745,0.7172745227259595,0.636046019328677
78,100,50,0.95,0.65,1215687,724,0.9416450906193985,746,0.16298214167164576,0.044811790479984064,0.4131191292602321,0.02546916890080429,0.06371681415929203,0.8930678466076696,147.0,422.0499999999993,0.3917846884665849,0.02933719666787396,0.9180248702161052,169.0,333.0,0.28756063505908513,0.741007391914476,0.7066069513607148
79,100,50,0.95,0.7,1143586,1068,0.9115714001194981,1089,0.14359689304919337,0.06605589855938392,0.38497589140783456,0.014692378328741965,0.0915929203539823,0.8441002949852507,129.0,401.0499999999993,0.3143149563092235,0.0451527224435591,0.8838585053724496,165.0,322.0,0.26681758411207934,0.7483157217932026,0.69574040013958
80,100,50,0.95,0.75,1018890,1470,0.8816304852950939,1493,0.12215362145654916,0.09081856203943438,0.3249547858147504,0.009377093101138647,0.12433628318584071,0.7253687315634219,105.5,373.0,0.21907931169321881,0.0633828323071351,0.7937945188941204,155.0,301.0,0.2196330808782351,0.701068466610445,0.636046019328677
